,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
158,Panagal Park,13.04211,80.23301500000002,Tanishq,13.04350713931576,80.23243903309603,Jewelry Store
159,Panagal Park,13.04211,80.23301500000002,Sundari silks,13.044510600501589,80.23228599151898,Clothing Store
160,Panagal Park,13.04211,80.23301500000002,Panagal Park,13.041010746165332,80.2329836231605,Park
161,Panagal Park,13.04211,80.23301500000002,GRT Jewellers,13.03948997295586,80.23164937130393,Jewelry Store
162,Panagal Park,13.04211,80.23301500000002,Sangeetha Fine Dining,13.04318751736555,80.23660133417307,Vegetarian / Vegan Restaurant
163,Panagal Park,13.04211,80.23301500000002,GRTJewellers,13.044394654841755,80.23274575076724,Jewelry Store
164,Panagal Park,13.04211,80.23301500000002,Murugan Idli Shop,13.042486956919046,80.23545728691099,Indian Restaurant
165,Panagal Park,13.04211,80.23301500000002,Barbeque Nation,13.045409415046036,80.23314587136578,BBQ Joint
166,Panagal Park,13.04211,80.23301500000002,Nalli,13.040560294002999,80.23299933240793,Women's Store
167,Panagal Park,13.04211,80.23301500000002,Starbucks,13.041685,80.23458,Coffee Shop
168,Panagal Park,13.04211,80.23301500000002,Maya Plaza,13.04103193788257,80.2348210442589,Shopping Mall
169,Panagal Park,13.04211,80.23301500000002,Domino's Pizza,13.04,80.234,Pizza Place
170,Panagal Park,13.04211,80.23301500000002,Saravana Bhavan,13.041005140297075,80.23562881206628,Indian Restaurant
171,Panagal Park,13.04211,80.23301500000002,Nalli Chinnasami Chetty,13.040606778508034,80.23303610161511,Clothing Store
172,Panagal Park,13.04211,80.23301500000002,Mansuk's Sweets & Snacks-T Nagar,13.03767437912972,80.2332613627496,Snack Place
173,Panagal Park,13.04211,80.23301500000002,The Chennai Silks,13.039144054434413,80.23182476330034,Clothing Store
174,Panagal Park,13.04211,80.23301500000002,Nalli 100,13.040535902515586,80.23184039888355,Clothing Store
175,Panagal Park,13.04211,80.23301500000002,Kumaran Silks,13.040522762359249,80.23263223324241,Boutique
176,Panagal Park,13.04211,80.23301500000002,RMKV,13.040838089040061,80.23197068284948,Clothing Store
177,Panagal Park,13.04211,80.23301500000002,Murugan Idli Shop,13.04534890178544,80.23272417375073,South Indian Restaurant
178,Panagal Park,13.04211,80.23301500000002,Rathna Stores [Firm],13.040634889468945,80.23701469128235,Miscellaneous Shop
179,Panagal Park,13.04211,80.23301500000002,Reliance Trends,13.04344245127976,80.23205781797449,Clothing Store
180,Panagal Park,13.04211,80.23301500000002,Cafe Chokolade,13.041585978051593,80.23193800715457,Café
181,Panagal Park,13.04211,80.23301500000002,Metro Shoe Mart,13.042768498383227,80.23235734428536,Shoe Store
182,Panagal Park,13.04211,80.23301500000002,Hotel Virudhunagar,13.042409662962516,80.23530003686031,Indian Restaurant
183,Panagal Park,13.04211,80.23301500000002,Hot Breads,13.042177811158998,80.2354995839497,Bakery
184,Panagal Park,13.04211,80.23301500000002,Courtallam Border Rahmath Kadai,13.042555,80.235877,South Indian Restaurant
185,Panagal Park,13.04211,80.23301500000002,Sri Krishna Gana Sabha,13.043103411527026,80.23009683710902,Concert Hall
186,Panagal Park,13.04211,80.23301500000002,Palam Silks,13.040924237425163,80.23590801211404,Women's Store
187,Panagal Park,13.04211,80.23301500000002,Hablis Hotel,13.042086982245223,80.23650703653668,Hotel
188,Panagal Park,13.04211,80.23301500000002,Grill Box,13.045428775760142,80.23567590302974,BBQ Joint
189,Panagal Park,13.04211,80.23301500000002,Kovai  Pazhamudir Cholai,13.045227150150382,80.23609861125213,Fruit & Vegetable Store
190,Hindi Prachar Sabha,13.035483,80.23935,Dindigul Thalapakatti,13.033716049620322,80.23813436485027,South Indian Restaurant
191,Hindi Prachar Sabha,13.035483,80.23935,Cream & Fudge,13.03554693083676,80.23684466662269,Ice Cream Shop
192,Hindi Prachar Sabha,13.035483,80.23935,In & Out,13.034244375330875,80.23804664611816,Department Store
193,Hindi Prachar Sabha,13.035483,80.23935,Pasta Bar Veneto,13.03477163181086,80.23521179798625,Italian Restaurant
194,Hindi Prachar Sabha,13.035483,80.23935,Matsya Restaurant,13.038399918980158,80.2397958095393,Indian Restaurant
195,Hindi Prachar Sabha,13.035483,80.23935,Saravana Bhavan,13.036507347842312,80.23620477229629,Indian Restaurant
196,Hindi Prachar Sabha,13.035483,80.23935,Candy Club,13.035015936359166,80.23761249779,Cocktail Bar
197,Hindi Prachar Sabha,13.035483,80.23935,Natesan park,13.037389121658515,80.2360822741999,Park
198,Hindi Prachar Sabha,13.035483,80.23935,US 101,13.032612951850947,80.23939206887279,Bar
199,Hindi Prachar Sabha,13.035483,80.23935,Sri Krishna Sweets,13.03637615592189,80.23624873045266,Vegetarian / Vegan Restaurant
200,Hindi Prachar Sabha,13.035483,80.23935,The Vault - Bar Stock Exchange,13.034957423566942,80.23752873942705,Pub
201,Hindi Prachar Sabha,13.035483,80.23935,Maverick Fitness,13.035545568881355,80.2396279705614,Gym / Fitness Center
202,Hindi Prachar Sabha,13.035483,80.23935,B R Mathsyas,13.038460416323954,80.23976844216944,Indian Restaurant
203,Hindi Prachar Sabha,13.035483,80.23935,The Lotus Service Apartments - Burkit Road,13.034209400039611,80.23564117260237,Hotel
204,Hindi Prachar Sabha,13.035483,80.23935,Nandanam Metro Station,13.031801,80.241279,Metro Station
205,Venkat Narayana Road,13.035751,80.236672,Cream & Fudge,13.03554693083676,80.23684466662269,Ice Cream Shop
206,Venkat Narayana Road,13.035751,80.236672,Dindigul Thalapakatti,13.033716049620322,80.23813436485027,South Indian Restaurant
207,Venkat Narayana Road,13.035751,80.236672,Pasta Bar Veneto,13.03477163181086,80.23521179798625,Italian Restaurant
208,Venkat Narayana Road,13.035751,80.236672,In & Out,13.034244375330875,80.23804664611816,Department Store
209,Venkat Narayana Road,13.035751,80.236672,Saravana Bhavan,13.036507347842312,80.23620477229629,Indian Restaurant
210,Venkat Narayana Road,13.035751,80.236672,Natesan park,13.037389121658515,80.2360822741999,Park
211,Venkat Narayana Road,13.035751,80.236672,Mansuk's Sweets & Snacks-T Nagar,13.03767437912972,80.2332613627496,Snack Place
212,Venkat Narayana Road,13.035751,80.236672,Candy Club,13.035015936359166,80.23761249779,Cocktail Bar
213,Venkat Narayana Road,13.035751,80.236672,Sri Krishna Sweets,13.03637615592189,80.23624873045266,Vegetarian / Vegan Restaurant
214,Venkat Narayana Road,13.035751,80.236672,Matsya Restaurant,13.038399918980158,80.2397958095393,Indian Restaurant
215,Venkat Narayana Road,13.035751,80.236672,The Vault - Bar Stock Exchange,13.034957423566942,80.23752873942705,Pub
216,Venkat Narayana Road,13.035751,80.236672,US 101,13.032612951850947,80.23939206887279,Bar
217,Venkat Narayana Road,13.035751,80.236672,The Lotus Service Apartments - Burkit Road,13.034209400039611,80.23564117260237,Hotel
218,Venkat Narayana Road,13.035751,80.236672,Kumaran silks,13.036955721740068,80.2346554928549,Women's Store
219,Venkat Narayana Road,13.035751,80.236672,Maverick Fitness,13.035545568881355,80.2396279705614,Gym / Fitness Center
220,Venkat Narayana Road,13.035751,80.236672,B R Mathsyas,13.038460416323954,80.23976844216944,Indian Restaurant
221,Thiyagaraya Nagar,13.033764,80.230215,Murugan Idly Shop,13.037802568325422,80.23016049090197,South Indian Restaurant
222,Thiyagaraya Nagar,13.033764,80.230215,Hotel Saravana Bhavan,13.036511913609774,80.23081662908346,Asian Restaurant
223,Thiyagaraya Nagar,13.033764,80.230215,Saravana stores textiles - Ranganathan,13.03684347987266,80.23076167377131,Clothing Store
224,Thiyagaraya Nagar,13.033764,80.230215,Sree Leathers,13.033648762449081,80.2304294655623,Shoe Store
225,Thiyagaraya Nagar,13.033764,80.230215,T.nagar Tea Centre,13.034385275363789,80.2303641129749,Café
226,Thiyagaraya Nagar,13.033764,80.230215,Hotel Saravana Bhavan on S.Usman Road,13.036237879874102,80.23090871633455,Indian Restaurant
227,Thiyagaraya Nagar,13.033764,80.230215,Saravana Stores Gold Palace,13.036976243138598,80.22989419525437,Miscellaneous Shop
228,Thiyagaraya Nagar,13.033764,80.230215,Ranganathan Street,13.037368012939117,80.22907338907882,Road
229,Pondy Bazaar,13.040516,80.240042,Shri Balaajee Bhavan,13.04068612834832,80.23793684178305,Indian Restaurant
230,Pondy Bazaar,13.040516,80.240042,Nasi Kandar Pelita,13.040180210318622,80.24175510277229,Malay Restaurant
231,Pondy Bazaar,13.040516,80.240042,Naidu Hall,13.040690957381647,80.23837133682868,Clothing Store
232,Pondy Bazaar,13.040516,80.240042,Gangotree,13.041671680938263,80.24425789538928,Indian Restaurant
233,Pondy Bazaar,13.040516,80.240042,Sangeetha Fine Dining,13.04318751736555,80.23660133417307,Vegetarian / Vegan Restaurant
234,Pondy Bazaar,13.040516,80.240042,Big Bazaar,13.040466482927537,80.23916564262522,Department Store
235,Pondy Bazaar,13.040516,80.240042,Matsya Restaurant,13.038399918980158,80.2397958095393,Indian Restaurant
236,Pondy Bazaar,13.040516,80.240042,KFC,13.040173722507188,80.24168055598304,Fast Food Restaurant
237,Pondy Bazaar,13.040516,80.240042,Pondy Bazaar,13.040568717889359,80.2385001237523,Market
238,Pondy Bazaar,13.040516,80.240042,Grand sweets & snacks,13.042389346976558,80.2407000892161,Indian Restaurant
239,Pondy Bazaar,13.040516,80.240042,The Residency Towers,13.040600690057673,80.2437892725589,Hotel
240,Pondy Bazaar,13.040516,80.240042,Adyar Ananda Bhavan,13.040748344922132,80.23757679891372,Dessert Shop
241,Pondy Bazaar,13.040516,80.240042,Kovai Pazhamudir Nilayam,13.041982248139492,80.24433872289688,Juice Bar
242,Pondy Bazaar,13.040516,80.240042,New Andhra Mess,13.040462853047455,80.23941215112978,Indian Restaurant
243,Pondy Bazaar,13.040516,80.240042,Saravana Bhavan,13.041005140297075,80.23562881206628,Indian Restaurant
244,Pondy Bazaar,13.040516,80.240042,Pizza Hut,13.039776409483315,80.24428307927323,Pizza Place
245,Pondy Bazaar,13.040516,80.240042,Globus,13.040274241657636,80.24325536412528,Clothing Store
246,Pondy Bazaar,13.040516,80.240042,Rathna Stores [Firm],13.040634889468945,80.23701469128235,Miscellaneous Shop
247,Pondy Bazaar,13.040516,80.240042,Sea Shell Restaurant,13.039834675873085,80.24078422036601,Restaurant
248,Pondy Bazaar,13.040516,80.240042,The Crown,13.04060890181162,80.24369802518737,Diner
249,Pondy Bazaar,13.040516,80.240042,Vasantha Bhavan,13.044639096033407,80.239551104462,Indian Restaurant
250,Pondy Bazaar,13.040516,80.240042,Anjappar Chettinad Restaurant,13.040689807663954,80.23772333138557,Indian Restaurant
251,Pondy Bazaar,13.040516,80.240042,Trichy's Banana Leaf,13.040205378052386,80.2383694309414,Restaurant
252,Pondy Bazaar,13.040516,80.240042,Pothys Boutique,13.044629341824816,80.23968757940209,Boutique
253,Pondy Bazaar,13.040516,80.240042,Vani Mahal,13.043745581603593,80.23958578043343,Music Venue
254,Pondy Bazaar,13.040516,80.240042,Bike and Barrel,13.040080601887318,80.24391594663646,Pub
255,Pondy Bazaar,13.040516,80.240042,Main Street,13.040636454423234,80.2438435989102,Italian Restaurant
